year,minBronze,minSilver,minGold,maxPoints
1989,60.0,80.0,95.0,100.0
1990,72.0,90.0,111.0,200.0
1991,101.0,132.0,150.0,200.0
1992,123.0,175.0,198.0,200.0
1993,123.0,161.0,186.0,200.0
1994,65.0,96.0,148.0,200.0
1995,88.0,120.0,151.0,200.0
1996,103.0,150.0,176.0,200.0
1997,203.0,302.0,370.0,600.0
1998,310.0,490.0,640.0,700.0
1999,135.0,234.0,340.0,600.0
2000,248.0,410.0,550.0,700.0
2001,143.0,266.0,378.0,600.0
2002,135.0,226.0,296.0,600.0
2003,173.1,257.7,350.9,600.0
2004,265.0,365.0,445.0,600.0
2005,275.0,393.0,496.0,600.0
2006,219.0,314.0,385.0,600.0
2007,187.0,286.0,388.0,600.0
2008,127.0,229.0,356.0,600.0
2009,399.0,490.0,616.0,800.0
2010,538.0,620.0,686.0,820.0
2011,267.0,370.0,478.0,600.0
2012,157.0,237.0,364.0,600.0
2013,220.0,359.0,480.0,600.0
2014,223.0,323.0,449.0,600.0
2015,185.45,325.55,440.42,600.0
2016,240.0,328.0,416.0,600.0
2017,137.19,249.42,353.03,600.0
2018,187.0,272.0,336.0,600.0
2019,250.19,329.18,414.75,600.0
